date,symbol,dt_last_refreshed,timezone,open,high,low,close,volume,daily_change,intraday_return_pct,daily_return_pct,cumulative_return_pct,intraday_volatility_abs,volatility_ratio,intraday_volatility_pct,volume_change_pct,moving_avg_7d,moving_avg_30d
2020-06-19,VXX,2026-05-08,US/Eastern,42.22,43.62,34.99,36.89,196177635,-5.33,-12.62,-4.7,-62.24,8.63,0.23,20.44,-18.94,34.83,28.49
2020-06-26,VXX,2026-05-08,US/Eastern,37.15,38.34,33.42,37.5,208560638,0.35,0.94,1.65,-61.62,4.92,0.13,13.25,6.31,35.19,29.19
2020-07-02,VXX,2026-05-08,US/Eastern,36.88,38.1,31.03,32.32,104506159,-4.56,-12.36,-13.81,-66.92,7.07,0.22,19.16,-49.89,34.58,29.7
2020-07-10,VXX,2026-05-08,US/Eastern,31.27,34.51,31.19,32.15,127895380,0.88,2.81,-0.53,-67.09,3.32,0.1,10.62,22.38,34.27,30.26
2020-07-17,VXX,2026-05-08,US/Eastern,31.81,36.01,30.57,30.62,155384930,-1.19,-3.74,-4.76,-68.66,5.44,0.18,17.1,21.49,33.91,30.78
2020-07-24,VXX,2026-05-08,US/Eastern,30.22,31.46,28.15,30.17,153438405,-0.05,-0.17,-1.47,-69.12,3.3,0.11,10.94,-1.25,34.05,31.28
2020-07-31,VXX,2026-05-08,US/Eastern,29.79,31.27,28.23,28.52,130747269,-1.27,-4.26,-5.47,-70.81,3.04,0.11,10.21,-14.79,32.6,31.72
2020-08-07,VXX,2026-05-08,US/Eastern,28.31,28.76,26.27,26.53,111396279,-1.78,-6.29,-6.98,-72.85,2.49,0.09,8.79,-14.8,31.12,32.13
2020-08-14,VXX,2026-05-08,US/Eastern,26.14,27.14,24.9,25.44,145821842,-0.7,-2.68,-4.11,-73.96,2.24,0.09,8.57,30.9,29.39,32.53
2020-08-21,VXX,2026-05-08,US/Eastern,24.89,25.84,23.95,24.63,138396150,-0.26,-1.04,-3.18,-74.79,1.89,0.08,7.59,-5.09,28.29,32.88
