date,digital_ccy_code,market_code,dt_last_refreshed,time_zone,open,high,low,close,volume,daily_change,intraday_return_pct,daily_return_pct,cumulative_return_pct,intraday_volatility_abs,intraday_volatility_pct,moving_avg_7d,moving_avg_30d
2020-03-09,BTC,USD,2026-05-11,UTC,8045.08,8132.65,7664.88,7915.67,37959208549.62,-129.41,-1.61,-1.58,15831244.23,467.77,5.81,8651.39,9376.42
2020-03-10,BTC,USD,2026-05-11,UTC,7933.95,8139.03,7794.19,7900.82,34726963415.42,-33.13,-0.42,-0.19,15801542.65,344.83,4.35,8526.87,9302.16
2020-03-11,BTC,USD,2026-05-11,UTC,7897.14,7963.67,7627.48,7931.35,32035157695.88,34.21,0.43,0.39,15862595.09,336.19,4.26,8409.99,9237.55
2020-03-12,BTC,USD,2026-05-11,UTC,7932.11,7953.44,4684.82,4724.39,38263176500.42,-3207.72,-40.44,-40.43,9448685.37,3268.61,41.21,7791.88,9054.04
2020-03-13,BTC,USD,2026-05-11,UTC,4799.7,5891.89,4003.59,5518.65,60723203714.92,718.95,14.98,16.81,11037194.56,1888.3,39.34,7276.08,8893.75
2020-03-14,BTC,USD,2026-05-11,UTC,5585.04,5611.99,5120.78,5212.98,41904880597.15,-372.06,-6.66,-5.54,10425858.6,491.21,8.8,6749.51,8726.67
2020-03-15,BTC,USD,2026-05-11,UTC,5200.97,5832.91,5168.4,5381.75,26391424072.39,180.78,3.48,3.24,10763390.49,664.52,12.78,6369.37,8561.81
2020-03-16,BTC,USD,2026-05-11,UTC,5374.04,5374.04,4528.3,5022.58,33030427611.94,-351.46,-6.54,-6.67,10045056.21,845.74,15.74,5956.07,8399.12
2020-03-17,BTC,USD,2026-05-11,UTC,5008.44,5446.81,4968.74,5362.32,36376336243.89,353.88,7.07,6.76,10724540.81,478.07,9.55,5593.43,8245.56
2020-03-18,BTC,USD,2026-05-11,UTC,5322.87,5396.97,5047.76,5365.58,30708432421.46,42.71,0.8,0.06,10731063.07,349.21,6.56,5226.89,8100.68
2020-03-19,BTC,USD,2026-05-11,UTC,5363.8,6373.37,5280.25,6160.0,46227050479.48,796.21,14.84,14.81,12319909.44,1093.12,20.38,5431.98,7967.85
2020-03-20,BTC,USD,2026-05-11,UTC,6163.65,6845.32,5816.37,6192.31,82173623931.32,28.66,0.46,0.52,12384519.95,1028.95,16.69,5528.22,7853.53
2020-03-21,BTC,USD,2026-05-11,UTC,6211.47,6428.25,5921.28,6149.8,74321910267.06,-61.67,-0.99,-0.69,12299496.7,506.96,8.16,5662.05,7738.11
2020-03-22,BTC,USD,2026-05-11,UTC,6162.35,6385.92,5796.49,5843.16,49039501835.04,-319.19,-5.18,-4.99,11686217.57,589.44,9.57,5727.96,7610.1
