country_unep,household_year,household_region,household_kg_per_capita_year,household_tonnes_year,household_confidence,food_service_year,food_service_kg_per_capita_year,food_service_tonnes_year,food_service_confidence,retail_year,retail_kg_per_capita_year,retail_tonnes_year,retail_confidence,average_temperature,temperature_year,temperature_unit,income_year,income_region,income_group,income_lending_category,gdp_per_capita_year,gdp_per_capita,population_density_year,population_density,tourism_arrivals_year,tourism_arrivals,access_to_electricity_year,access_to_electricity,total_population_year,total_population,total_food_waste_kg_per_capita_year,total_food_waste_tonnes_year,household_share_pct,food_service_share_pct,retail_share_pct,main_contributing_sector,tourists_per_resident,income_rank,population_size_category,temperature_band,gdp_per_capita_category,coverage_score,sector_share_total
Poland,2024,Eastern Europe,60,2391600.0,Eurostat,2024,5,199300.0,Eurostat,2024,8,318880.0,Eurostat,10.25,2024,Celsius,2024,Europe & Central Asia,High Income,IBRD,2024,25103.565661423,2023,119.787615502661,2019,88515000.0,2023,100.0,2024,36559233.0,73,2909780.0,82.19,6.85,10.96,Household,2.42,4,Medium (10M-50M),Cool (10°C-20°C),Upper-Middle GDP per Capita,9,100.0
Republic of Moldova,2024,Eastern Europe,71,231061.0,Low Confidence,2024,17,56308.0,Low Confidence,2024,14,44410.0,Low Confidence,12.69,2024,Celsius,2024,Europe & Central Asia,Upper Middle Income,IBRD,2024,7576.19589413326,2023,85.437584732506,2020,29000.0,2023,100.0,2024,2402306.0,102,331779.0,69.64,16.97,13.39,Household,0.01,3,Small (1M-10M),Cool (10°C-20°C),Lower-Middle GDP per Capita,9,100.0
Romania,2024,Eastern Europe,67,1323991.0,Low Confidence,2024,12,239125.0,Low Confidence,2024,10,189413.0,Low Confidence,11.9,2024,Celsius,2024,Europe & Central Asia,High Income,IBRD,2024,20080.2096215595,2023,82.8453668289291,2020,5023000.0,2023,100.0,2024,19051804.0,89,1752529.0,75.55,13.64,10.81,Household,0.26,4,Medium (10M-50M),Cool (10°C-20°C),Upper-Middle GDP per Capita,9,100.0
Russian Federation,2024,Eastern Europe,33,4829772.0,Medium Confidence,2024,8,1220199.0,Medium Confidence,2024,14,1985118.0,Medium Confidence,-2.82,2024,Celsius,2024,Europe & Central Asia,High Income,IBRD,2024,14889.0185546875,2023,8.78227219242749,2020,6359000.0,2023,100.0,2024,143533851.0,55,8035089.0,60.11,15.19,24.71,Household,0.04,4,Very Large (>100M),Cold (<10°C),Lower-Middle GDP per Capita,9,100.00999999999999
Slovakia,2024,Eastern Europe,65,366600.0,Eurostat,2024,1,5640.0,Eurostat,2024,3,16920.0,Eurostat,10.54,2024,Celsius,2024,Europe & Central Asia,High Income,,2024,25992.6748502048,2023,112.868968386023,2018,15299000.0,2023,100.0,2024,5422069.0,69,389160.0,94.2,1.45,4.35,Household,2.82,4,Small (1M-10M),Cool (10°C-20°C),Upper-Middle GDP per Capita,9,100.0
Ukraine,2024,Eastern Europe,69,2758037.0,Low Confidence,2024,17,692291.0,Very Low Confidence,2024,8,313581.0,Very Low Confidence,10.85,2024,Celsius,2024,Europe & Central Asia,Upper Middle Income,IBRD,2024,5389.47314453125,2023,65.1239834311357,2020,3382000.0,2023,100.0,2024,37860221.0,94,3763909.0,73.28,18.39,8.33,Household,0.09,3,Medium (10M-50M),Cool (10°C-20°C),Lower-Middle GDP per Capita,9,100.0
Anguilla,2024,Latin America and the Caribbean,95,1892.0,Very Low Confidence,2024,23,456.0,Very Low Confidence,2024,14,288.0,Very Low Confidence,,,,,,,,,,,,,,,,,,132,2636.0,71.78,17.3,10.93,Household,,,,,,2,100.00999999999999
Antigua and Barbuda,2024,Latin America and the Caribbean,88,7922.0,Low Confidence,2024,42,3824.0,Very Low Confidence,2024,15,1355.0,Very Low Confidence,27.75,2024,Celsius,2024,Latin America & Caribbean,High Income,IBRD,2024,23542.4526945578,2023,212.081818181818,2020,384500.0,2023,100.0,2024,93772.0,145,13101.0,60.47,29.19,10.34,Household,4.1,4,Very Small (<1M),Hot (25°C-30°C),Upper-Middle GDP per Capita,9,100.0
Argentina,2024,Latin America and the Caribbean,91,4156798.0,Low Confidence,2024,48,2163862.0,Very Low Confidence,2024,3,125444.0,High Confidence,15.95,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,IBRD,2024,13969.7836603737,2023,16.6399559321662,2019,7399000.0,2023,100.0,2024,45696159.0,142,6446104.0,64.49,33.57,1.95,Household,0.16,3,Medium (10M-50M),Cool (10°C-20°C),Lower-Middle GDP per Capita,9,100.01
Aruba,2024,Latin America and the Caribbean,88,9682.0,Low Confidence,2024,42,4674.0,Very Low Confidence,2024,15,1656.0,Very Low Confidence,29.45,2024,Celsius,2024,Latin America & Caribbean,High Income,,2024,39498.5941293797,2023,596.438888888889,2019,1951000.0,2023,100.0,2024,107995.0,145,16012.0,60.47,29.19,10.34,Household,18.07,4,Very Small (<1M),Hot (25°C-30°C),High GDP per Capita,9,100.0
