DataSource,Country,Reason
Total Population,Other small states,Not found in UNEP
Total Population,Pacific island small states,Not found in UNEP
Total Population,Post-demographic dividend,Not found in UNEP
Total Population,Pre-demographic dividend,Not found in UNEP
Total Population,Small states,Not found in UNEP
Total Population,South Asia,Not found in UNEP
Total Population,South Asia (IDA & IBRD),Not found in UNEP
Total Population,Sub-Saharan Africa,Not found in UNEP
Total Population,Sub-Saharan Africa (IDA & IBRD countries),Not found in UNEP
Total Population,Sub-Saharan Africa (excluding high income),Not found in UNEP
Total Population,Upper middle income,Not found in UNEP
Total Population,West Bank and Gaza,Not found in UNEP
Total Population,World,Not found in UNEP
Tourism Arrivals,Africa Eastern and Southern,Not found in UNEP
Tourism Arrivals,Africa Western and Central,Not found in UNEP
Tourism Arrivals,Arab World,Not found in UNEP
Tourism Arrivals,Caribbean small states,Not found in UNEP
Tourism Arrivals,Central Europe and the Baltics,Not found in UNEP
Tourism Arrivals,Early-demographic dividend,Not found in UNEP
Tourism Arrivals,East Asia & Pacific,Not found in UNEP
Tourism Arrivals,East Asia & Pacific (IDA & IBRD countries),Not found in UNEP
Tourism Arrivals,East Asia & Pacific (excluding high income),Not found in UNEP
Tourism Arrivals,Euro area,Not found in UNEP
Tourism Arrivals,Europe & Central Asia,Not found in UNEP
Tourism Arrivals,Europe & Central Asia (IDA & IBRD countries),Not found in UNEP
Tourism Arrivals,Europe & Central Asia (excluding high income),Not found in UNEP
Tourism Arrivals,European Union,Not found in UNEP
Tourism Arrivals,Heavily indebted poor countries (HIPC),Not found in UNEP
Tourism Arrivals,High income,Not found in UNEP
Tourism Arrivals,IBRD only,Not found in UNEP
Tourism Arrivals,IDA & IBRD total,Not found in UNEP
Tourism Arrivals,IDA only,Not found in UNEP
Tourism Arrivals,IDA total,Not found in UNEP
Tourism Arrivals,Late-demographic dividend,Not found in UNEP
Tourism Arrivals,Latin America & Caribbean,Not found in UNEP
Tourism Arrivals,Latin America & Caribbean (excluding high income),Not found in UNEP
Tourism Arrivals,Latin America & the Caribbean (IDA & IBRD countries),Not found in UNEP
Tourism Arrivals,Least developed countries: UN classification,Not found in UNEP
Tourism Arrivals,Low & middle income,Not found in UNEP
Tourism Arrivals,Low income,Not found in UNEP
Tourism Arrivals,Lower middle income,Not found in UNEP
Tourism Arrivals,"Middle East, North Africa, Afghanistan & Pakistan",Not found in UNEP
Tourism Arrivals,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",Not found in UNEP
Tourism Arrivals,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",Not found in UNEP
Tourism Arrivals,Middle income,Not found in UNEP
Tourism Arrivals,North America,Not found in UNEP
Tourism Arrivals,OECD members,Not found in UNEP
Tourism Arrivals,Other small states,Not found in UNEP
Tourism Arrivals,Pacific island small states,Not found in UNEP
Tourism Arrivals,Post-demographic dividend,Not found in UNEP
Tourism Arrivals,Pre-demographic dividend,Not found in UNEP
Tourism Arrivals,Small states,Not found in UNEP
Tourism Arrivals,South Asia,Not found in UNEP
Tourism Arrivals,South Asia (IDA & IBRD),Not found in UNEP
Tourism Arrivals,Sub-Saharan Africa,Not found in UNEP
Tourism Arrivals,Sub-Saharan Africa (IDA & IBRD countries),Not found in UNEP
Tourism Arrivals,Sub-Saharan Africa (excluding high income),Not found in UNEP
Tourism Arrivals,Upper middle income,Not found in UNEP
Tourism Arrivals,West Bank and Gaza,Not found in UNEP
Tourism Arrivals,World,Not found in UNEP
