sector,source,year,region,m49_code,country,household_kg_per_capita_year,household_tonnes_year,confidence_in_estimate
Household,UNEP Food Waste Index Report 2024,2024,Melanesia,598,Papua New Guinea,89,903213,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Melanesia,90,Solomon Islands,43,31242,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Melanesia,548,Vanuatu,141,46687,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Micronesia,316,Guam,60,10173,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Micronesia,296,Kiribati,62,8056,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Micronesia,584,Marshall Islands,63,2526,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Micronesia,583,Micronesia (Fed. States of),38,4205,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Micronesia,520,Nauru,60,598,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Micronesia,580,Northern Mariana Islands,60,2992,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Micronesia,585,Palau,63,1263,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern Africa,12,Algeria,113,5057909,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern Africa,818,Egypt,163,18085437,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern Africa,434,Libya,84,572937,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern Africa,504,Morocco,113,4219805,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern Africa,729,Sudan,116,5414527,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern Africa,788,Tunisia,172,2121810,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern Africa,732,Western Sahara,140,80958,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern America,60,Bermuda,79,4718,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern America,124,Canada,79,3019925,High Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern America,304,Greenland,79,4718,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern America,666,Saint Pierre and Miquelon,76,758,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern America,840,United States of America,73,24716539,High Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern Europe,208,Denmark,79,464520,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Northern Europe,233,Estonia,61,81130,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Northern Europe,234,Faroe Islands,75,3768,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern Europe,246,Finland,53,293620,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Northern Europe,352,Iceland,75,27886,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern Europe,372,Ireland,48,240960,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Northern Europe,833,Isle of Man,75,6029,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern Europe,428,Latvia,82,151700,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Northern Europe,440,Lithuania,86,236500,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Northern Europe,578,Norway,78,423540,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Northern Europe,752,Sweden,61,643550,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Northern Europe,826,United Kingdom,76,5097005,High Confidence
Household,UNEP Food Waste Index Report 2024,2024,Polynesia,16,American Samoa,81,3258,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Polynesia,184,Cook Islands,86,1724,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Polynesia,258,French Polynesia,81,25252,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Polynesia,570,Niue,86,,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Polynesia,882,Samoa,86,18857,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Polynesia,772,Tokelau,86,,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Polynesia,776,Tonga,88,9690,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Polynesia,798,Tuvalu,88,881,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Polynesia,876,Wallis and Futuna Islands,86,862,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,96,Brunei Darussalam,76,34109,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,116,Cambodia,85,1419831,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,360,Indonesia,53,14728364,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,418,Lao People's Dem. Rep.,89,673831,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,458,Malaysia,81,2754808,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,104,Myanmar,78,4221946,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,608,Philippines,26,2954580,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,702,Singapore,68,409182,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,764,Thailand,86,6180468,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,626,Timor-Leste,78,104419,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,704,Viet Nam,72,7079811,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Southern Asia,4,Afghanistan,127,5229654,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Southern Asia,50,Bangladesh,82,14101956,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Southern Asia,64,Bhutan,19,15072,High Confidence
Household,UNEP Food Waste Index Report 2024,2024,Southern Asia,356,India,55,78192338,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Southern Asia,364,Iran (Islamic Republic of),93,8208360,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Southern Asia,462,Maldives,207,107877,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Southern Asia,524,Nepal,93,2831907,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Southern Asia,586,Pakistan,130,30754726,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Southern Asia,144,Sri Lanka,76,1656148,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Southern Europe,8,Albania,86,243657,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Southern Europe,20,Andorra,82,6598,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Southern Europe,70,Bosnia and Herzegovina,86,277117,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Southern Europe,191,Croatia,53,213590,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Southern Europe,292,Gibraltar,82,2474,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Southern Europe,300,Greece,87,903930,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Southern Europe,336,Holy See,83,,Very Low Confidence
