DataSource,Country,Reason
Food Service Estimates,"Bonaire, St. Eustatius & Saba",Direct Match
Food Service Estimates,Bosnia and Herzegovina,Direct Match
Food Service Estimates,Botswana,Direct Match
Food Service Estimates,Brazil,Direct Match
Food Service Estimates,British Virgin Islands,Direct Match
Food Service Estimates,Brunei Darussalam,Direct Match
Food Service Estimates,Bulgaria,Direct Match
Food Service Estimates,Burkina Faso,Direct Match
Food Service Estimates,Burundi,Direct Match
Food Service Estimates,Cabo Verde,Direct Match
Food Service Estimates,Cambodia,Direct Match
Food Service Estimates,Cameroon,Direct Match
Food Service Estimates,Canada,Direct Match
Food Service Estimates,Cayman Islands,Direct Match
Food Service Estimates,Central African Republic,Direct Match
Food Service Estimates,Chad,Direct Match
Food Service Estimates,Chile,Direct Match
Food Service Estimates,China,Direct Match
Food Service Estimates,"China, Hong Kong SAR",Direct Match
Food Service Estimates,"China, Macao SAR",Direct Match
Food Service Estimates,Colombia,Direct Match
Food Service Estimates,Comoros,Direct Match
Food Service Estimates,Congo,Direct Match
Food Service Estimates,Cook Islands,Direct Match
Food Service Estimates,Costa Rica,Direct Match
Food Service Estimates,Croatia,Direct Match
Food Service Estimates,Cuba,Direct Match
Food Service Estimates,Curaçao,Direct Match
Food Service Estimates,Cyprus,Direct Match
Food Service Estimates,Czechia,Direct Match
Food Service Estimates,Côte d’Ivoire,Direct Match
Food Service Estimates,Dem. People's Rep. Korea,Direct Match
Food Service Estimates,Dem. Rep. of the Congo,Direct Match
Food Service Estimates,Denmark,Direct Match
Food Service Estimates,Djibouti,Direct Match
Food Service Estimates,Dominica,Direct Match
Food Service Estimates,Dominican Republic,Direct Match
Food Service Estimates,Ecuador,Direct Match
Food Service Estimates,Egypt,Direct Match
Food Service Estimates,El Salvador,Direct Match
Food Service Estimates,Equatorial Guinea,Direct Match
Food Service Estimates,Eritrea,Direct Match
Food Service Estimates,Estonia,Direct Match
Food Service Estimates,Eswatini,Direct Match
Food Service Estimates,Ethiopia,Direct Match
Food Service Estimates,Falkland Islands (Malvinas),Direct Match
Food Service Estimates,Faroe Islands,Direct Match
Food Service Estimates,Fiji,Direct Match
Food Service Estimates,Finland,Direct Match
Food Service Estimates,France,Direct Match
Food Service Estimates,French Guiana,Direct Match
Food Service Estimates,French Polynesia,Direct Match
Food Service Estimates,Gabon,Direct Match
Food Service Estimates,Gambia,Direct Match
Food Service Estimates,Georgia,Direct Match
Food Service Estimates,Germany,Direct Match
Food Service Estimates,Ghana,Direct Match
Food Service Estimates,Gibraltar,Direct Match
Food Service Estimates,Greece,Direct Match
Food Service Estimates,Greenland,Direct Match
Food Service Estimates,Grenada,Direct Match
Food Service Estimates,Guadeloupe,Direct Match
Food Service Estimates,Guam,Direct Match
Food Service Estimates,Guatemala,Direct Match
Food Service Estimates,Guinea,Direct Match
Food Service Estimates,Guinea-Bissau,Direct Match
Food Service Estimates,Guyana,Direct Match
Food Service Estimates,Haiti,Direct Match
Food Service Estimates,Holy See,Direct Match
Food Service Estimates,Honduras,Direct Match
Food Service Estimates,Hungary,Direct Match
Food Service Estimates,Iceland,Direct Match
Food Service Estimates,India,Direct Match
Food Service Estimates,Indonesia,Direct Match
Food Service Estimates,Iran (Islamic Republic of),Direct Match
Food Service Estimates,Iraq,Direct Match
Food Service Estimates,Ireland,Direct Match
Food Service Estimates,Isle of Man,Direct Match
Food Service Estimates,Israel,Direct Match
Food Service Estimates,Italy,Direct Match
Food Service Estimates,Jamaica,Direct Match
Food Service Estimates,Japan,Direct Match
Food Service Estimates,Jordan,Direct Match
Food Service Estimates,Kazakhstan,Direct Match
Food Service Estimates,Kenya,Direct Match
Food Service Estimates,Kiribati,Direct Match
Food Service Estimates,Kuwait,Direct Match
Food Service Estimates,Kyrgyzstan,Direct Match
Food Service Estimates,Lao People's Dem. Rep.,Direct Match
Food Service Estimates,Latvia,Direct Match
Food Service Estimates,Lebanon,Direct Match
Food Service Estimates,Lesotho,Direct Match
Food Service Estimates,Liberia,Direct Match
Food Service Estimates,Libya,Direct Match
Food Service Estimates,Liechtenstein,Direct Match
Food Service Estimates,Lithuania,Direct Match
Food Service Estimates,Luxembourg,Direct Match
Food Service Estimates,Madagascar,Direct Match
Food Service Estimates,Malawi,Direct Match
Food Service Estimates,Malaysia,Direct Match
Food Service Estimates,Maldives,Direct Match
Food Service Estimates,Mali,Direct Match
Food Service Estimates,Malta,Direct Match
Food Service Estimates,Marshall Islands,Direct Match
Food Service Estimates,Martinique,Direct Match
Food Service Estimates,Mauritania,Direct Match
Food Service Estimates,Mauritius,Direct Match
Food Service Estimates,Mayotte,Direct Match
Food Service Estimates,Mexico,Direct Match
Food Service Estimates,Micronesia (Fed. States of),Direct Match
Food Service Estimates,Monaco,Direct Match
Food Service Estimates,Mongolia,Direct Match
Food Service Estimates,Montenegro,Direct Match
Food Service Estimates,Montserrat,Direct Match
Food Service Estimates,Morocco,Direct Match
Food Service Estimates,Mozambique,Direct Match
Food Service Estimates,Myanmar,Direct Match
Food Service Estimates,Namibia,Direct Match
Food Service Estimates,Nauru,Direct Match
Food Service Estimates,Nepal,Direct Match
Food Service Estimates,Netherlands,Direct Match
Food Service Estimates,New Caledonia,Direct Match
Food Service Estimates,New Zealand,Direct Match
Food Service Estimates,Nicaragua,Direct Match
Food Service Estimates,Niger,Direct Match
Food Service Estimates,Nigeria,Direct Match
Food Service Estimates,Niue,Direct Match
Food Service Estimates,North Macedonia,Direct Match
Food Service Estimates,Northern Mariana Islands,Direct Match
Food Service Estimates,Norway,Direct Match
Food Service Estimates,Oman,Direct Match
Food Service Estimates,Pakistan,Direct Match
Food Service Estimates,Palau,Direct Match
Food Service Estimates,Panama,Direct Match
Food Service Estimates,Papua New Guinea,Direct Match
Food Service Estimates,Paraguay,Direct Match
