sector,source,year,region,m49_code,country,food_service_kg_per_capita_year,food_service_tonnes_year,confidence_in_estimate
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,500,Montserrat,23,,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,558,Nicaragua,48,331971,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,591,Panama,42,187383,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,600,Paraguay,48,322368,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,604,Peru,48,1618974,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,630,Puerto Rico,42,138094,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,652,Saint Barthélemy,23,228,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,659,Saint Kitts and Nevis,42,2125,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,662,Saint Lucia,48,8558,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,663,Saint Martin (French part),42,1275,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,670,Saint Vincent & Grenadines,48,4755,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,534,Sint Maarten (Dutch part),42,1700,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,740,Suriname,48,29479,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,780,Trinidad and Tobago,42,65011,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,796,Turks and Caicos Islands,42,2125,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,850,United States Virgin Islands,42,4249,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,858,Uruguay,42,145318,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,862,Venezuela (Boliv. Rep. of),23,645747,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Melanesia,242,Fiji,31,28551,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Melanesia,540,New Caledonia,21,5970,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Melanesia,598,Papua New Guinea,31,315734,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Melanesia,90,Solomon Islands,31,22419,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Melanesia,548,Vanuatu,31,10275,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Micronesia,316,Guam,21,3500,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Micronesia,296,Kiribati,31,4048,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Micronesia,584,Marshall Islands,31,1228,Very Low Confidence
